Saxifraga_granulifera,41
Saxifraga_gouldii,17
Saxifraga_gonggashanensis,16
Saxifraga_glaucophylla,31
Saxifraga_glacialis,16
Saxifraga_giraldiana,7
Saxifraga_georgei,20
Saxifraga_gedangensis,5
Saxifraga_forrestii,16
Saxifraga_flexilis,16
Saxifraga_firma,19
Saxifraga_finitima,16
Saxifraga_filicaulis,5
Saxifraga_federici_augusti,4
Saxifraga_erinacea,24
Saxifraga_epiphylla,7
Saxifraga_engleriana,17
Saxifraga_eglandulosa,20
Saxifraga_drabiformis,16
Saxifraga_diffusicallosa,26
Saxifraga_dielsiana,1
Saxifraga_diapensioides,34
Saxifraga_diapensia,16
Saxifraga_dianxibeiensis,16
Saxifraga_densifoliata,16
Saxifraga_daqiaoensis,4
Saxifraga_dahaiensis,16
Saxifraga_cymbalaria,4
Saxifraga_culcitosa,16
Saxifraga_crustata,4
Saxifraga_corsica,4
Saxifraga_contraria,23
Saxifraga_congestiflora,16
Saxifraga_cinerascens,16
Saxifraga_ciliatopetala,21
Saxifraga_chrysanthoides,16
Saxifraga_chrysantha,19
Saxifraga_chionophila,16
Saxifraga_caveana,17
Saxifraga_carpatica,4
Saxifraga_cardiophylla,31
Saxifraga_candelabrum,31
Saxifraga_bulleyana,16
Saxifraga_bracteata,19
Saxifraga_brachyphylla,31
Saxifraga_berica,4
Saxifraga_bergenioides,17
Saxifraga_auriculata,35
Saxifraga_aurantiaca,16
Saxifraga_aristulata,35
Saxifraga_aretioides,34
Saxifraga_angustata,16
Saxifraga_andersonii,17
Saxifraga_aleutica,19
Saxifraga_adscendens,34
Saxifraga_paradoxa,4
Saxifraga_banmaensis,16
Astilbe_chinensis,7
Astilbe_japonica,4
Astilbe_rivularis,12
Bensoniella_oregona,4
Bergenia_ciliata,2
Bergenia_crassifolia,4
Bergenia_emeiensis,7
Bergenia_ligulata,5
Bergenia_purpurascens,35
Bergenia_stracheyi,8
Bolandra_californica,4
Bolandra_oregana,4
Boykinia_occidentalis,4
Boykinia_richardsonii,19
Boykinia_rotundifolia,4
Cascadia_nuttallii,4
Chrysosplenium_alternifolium,4
Chrysosplenium_americanum,4
Chrysosplenium_davidianum,7
Chrysosplenium_flagelliferum,4
Chrysosplenium_grayanum,4
Chrysosplenium_griffithii,12
Chrysosplenium_hydrocotylifolium,4
Chrysosplenium_iowense,4
Chrysosplenium_japonicum,4
Chrysosplenium_lanuginosum,12
Chrysosplenium_microspermum,4
Chrysosplenium_nepalense,5
Chrysosplenium_oppositifolium,4
Chrysosplenium_pilosum,4
Chrysosplenium_rosendahlii,4
Chrysosplenium_tetrandrum,19
Chrysosplenium_wrightii,19
Conimitella_williamsii,4
Darmera_peltata,4
Elmera_racemosa,34
Heuchera_americana,4
Heuchera_cylindrica,34
Heuchera_glabra,34
Heuchera_hirsutissima,4
Heuchera_merriamii,4
Heuchera_micrantha,4
Heuchera_parviflora,4
Heuchera_richardsonii,4
Heuchera_rubescens,34
Heuchera_sanguinea,4
Jepsonia_parryi,4
