taxa,H,Y,T,O
Delphinium_muscosum,0,1,0,0
Delphinium_muliense,1,0,0,0
Delphinium_smithianum,1,0,0,0
Delphinium_maackianum,0,0,0,1
Delphinium_crassifolium,0,0,0,1
Delphinium_gyalanum,0,0,1,0
Delphinium_tangkulaense,0,0,1,0
Delphinium_bonvalotii,1,0,0,1
Delphinium_tongolense,1,0,0,0
Delphinium_glaciale,0,1,1,0
Delphinium_pylzowii,1,0,1,0
Delphinium_delavayi,1,0,0,1
Delphinium_potaninii,1,0,0,1
Delphinium_caeruleum,1,1,1,0
Delphinium_omeiense,1,0,0,1
Delphinium_anthriscifolium,0,0,0,1
Delphinium_venulosum,0,0,0,1
Delphinium_cossonianum,0,0,0,1
Delphinium_nanum,0,0,0,1
Delphinium_obcordatum,0,0,0,1
Delphinium_peregrinum,0,0,0,1
Delphinium_halteratum,0,0,0,1
Delphinium_balcanicum,0,0,0,1
Delphinium_hirschfeldianum,0,0,0,1
Delphinium_virgatum,0,0,0,1
Delphinium_gracile,0,0,0,1
Delphinium_balansae,0,0,0,1
Delphinium_verdunense,0,0,0,1
Delphinium_favargeri,0,0,0,1
Delphinium_macropetalum,0,0,0,1
Aconitum_crassiflorum,1,0,0,0
Aconitum_chrysotrichum,1,0,0,0
Aconitum_scaposum,1,0,0,1
Aconitum_heterophyllum,0,1,0,0
Aconitum_sinomontanum,1,0,0,1
Aconitum_monticola,0,0,0,1
Aconitum_kusnezoffii,0,0,0,1
Aconitum_lycoctonum,0,0,0,1
Aconitum_lasiostomum,0,0,0,1
Aconitum_orientale,0,0,0,1
Aconitum_septentrionale,0,0,0,1
Aconitum_moldavicum,0,0,0,1
Aconitum_shennongjiaense,0,0,0,1
Aconitum_angustius,0,0,0,1
Aconitum_finetianum,0,0,0,1
Aconitum_longecassidatum,0,0,0,1
Aconitum_alboviolaceum,0,0,0,1
Aconitum_gigas,0,0,0,1
Aconitum_umbrosum,0,0,0,1
Aconitum_barbatum,0,0,0,1
Aconitum_senanense,0,0,0,1
Aconitum_kitadakense,0,0,0,1
Aconitum_villosum,0,0,0,1
Aconitum_napiforme,0,0,0,1
Aconitum_bartlettii,0,0,0,1
Aconitum_jaluense,0,0,0,1
Aconitum_lucidusculum,0,0,0,1
Aconitum_sachalinense,0,0,0,1
Aconitum_misaoanum,0,0,0,1
Aconitum_hakusanense,0,0,0,1
Aconitum_ciliare,0,0,0,1
Aconitum_japonicum,0,0,0,1
Aconitum_volubile,0,0,0,1
Aconitum_carmichaelii,0,0,0,1
Aconitum_ludlowii,0,0,1,0
Aconitum_richardsonianum,0,0,1,0
Aconitum_sessiliflorum,1,0,0,0
Aconitum_flavum,1,0,1,0
Aconitum_pulchellum,1,1,0,0
Aconitum_nagarum,1,0,0,0
Aconitum_liangshanicum,1,0,0,0
Aconitum_hamatipetalum,1,0,0,0
Aconitum_brachypodum,1,0,0,0
Aconitum_huiliense,1,0,0,0
Aconitum_pendulum,1,0,1,1
Aconitum_tsaii,1,0,0,0
Aconitum_talassicum,0,0,0,1
Aconitum_nasutum,0,0,0,1
Aconitum_karakolicum,0,0,0,1
Aconitum_decipiens,0,0,0,1
Aconitum_nemorum,0,0,0,1
Aconitum_ferox,0,1,0,0
Aconitum_baicalense,0,0,0,1
Aconitum_delphiniifolium,0,0,0,1
Aconitum_cannabifolium,0,0,0,1
Aconitum_monanthum,0,0,0,1
Aconitum_iide-montanum,0,0,0,1
Aconitum_sanyoense,0,0,0,1
Aconitum_chiisanense,0,0,0,1
Aconitum_apoiense,0,0,0,1
Aconitum_yamazakii,0,0,0,1
Aconitum_yuparense,0,0,0,1
Aconitum_pascoi,0,0,0,1
Aconitum_superbum,0,0,0,1
Aconitum_degenii,0,0,0,1
Aconitum_bucovinense,0,0,0,1
Aconitum_plicatum,0,0,0,1
Aconitum_napellus,0,0,0,1
Aconitum_toxicum,0,0,0,1
Aconitum_variegatum,0,0,0,1
Aconitum_lasiocarpum,0,0,0,1
Aconitum_firmum,0,0,0,1
Aconitum_cammarum,0,0,0,1
Aconitum_nanum,0,0,0,1
Aconitum_pentheri,0,0,0,1
Aconitum_refractum,1,0,0,0
Aconitum_georgei,1,0,0,0
Aconitum_chienningense,1,0,0,0
Aconitum_kongboense,1,0,1,0
Aconitum_stapfianum,1,0,0,0
Aconitum_delavayi,1,0,0,0
Aconitum_fengii,1,0,0,0
Aconitum_tongolense,1,0,0,0
Aconitum_pilopetalum,1,0,0,0
Aconitum_contortum,1,0,0,0
Aconitum_bulleyanum,1,0,0,0
Aconitum_forrestii,1,0,0,0
Aconitum_transsectum,1,0,0,0
Aconitum_vilmorinianum,1,0,0,1
Aconitum_legendrei,1,0,0,0
Aconitum_bulbilliferum,1,0,0,0
Aconitum_episcopale,1,0,0,1
Aconitum_piepunense,1,0,0,0
Aconitum_tuguancunense,1,0,0,0
Aconitum_rockii,1,0,0,0
Aconitum_liljestrandii,1,0,0,0
Aconitum_tatsienense,1,0,0,0
Aconitum_hemsleyanum,1,0,0,1
Aconitum_franchetii,1,0,0,0
Aconitum_henryi,1,0,0,1
Aconitum_sungpanense,1,0,0,1
Aconitum_campylorrhynchum,1,0,0,0
Aconitum_spiripetalum,1,0,0,0
Aconitum_brunneum,1,0,0,0
Aconitum_zeravschanicum,0,0,0,1
Aconitum_racemulosum,1,0,0,1
Aconitum_polycarpum,1,0,0,0
Aconitum_tanguticum,1,0,1,0
Aconitum_naviculare,0,1,0,0
Staphisagria_picta,0,0,0,1
Staphisagria_macrosperma,0,0,0,1
Staphisagria_requienii,0,0,0,1
Aconitum_artemisiifolium,0,0,0,1
Consolida_uechtritziana,0,0,0,1
